"Hint","Ea","Pattern","MaxDmaSize","CmdCount","OffloadFit","DispatchRisk","Records","RunsSeen","TotalBytes","Total","ShareOf25cc","Get","Put","RsxBytes","Rsx","DurationUs","DurationMs","MaxJob"
"broaden-25cc-verify-ea-family","0x9e4000","0xf7bf30bddad5855f","16384","159","spu-kernel-hle","tiny-dispatch-trap","334","6","535174880","510.38 MB","7.27%","79.59 MB","430.80 MB","0","0 B","2943292","2,943.292","1.53 MB"
"broaden-25cc-verify-ea-family","0x9e4000","0x30540805202a855f","16384","159","spu-kernel-hle","tiny-dispatch-trap","322","6","515947040","492.05 MB","7.00%","76.73 MB","415.32 MB","0","0 B","3163505","3,163.505","1.53 MB"
"broaden-25cc-verify-ea-family","0x9e4000","0x209c1716c9de855f","16384","159","spu-kernel-hle","tiny-dispatch-trap","316","6","506333120","482.88 MB","6.87%","75.30 MB","407.58 MB","0","0 B","2601205","2,601.205","1.53 MB"
"broaden-25cc-verify-ea-family","0x9e4000","0x4318b5fc803b855f","16384","159","spu-kernel-hle","tiny-dispatch-trap","301","6","482298320","459.96 MB","6.55%","71.72 MB","388.23 MB","0","0 B","2968541","2,968.541","1.53 MB"
"broaden-25cc-verify-ea-family","0x9e4000","0x9c4d64ff0a1c9823","16384","317","spu-kernel-hle","tiny-dispatch-trap","162","4","286708896","273.43 MB","3.89%","38.60 MB","234.83 MB","0","0 B","1080789","1,080.789","1.69 MB"
"broaden-25cc-verify-ea-family","0x9e4000","0x95cedb5ff3de9823","16384","317","spu-kernel-hle","tiny-dispatch-trap","145","4","256622160","244.73 MB","3.48%","34.55 MB","210.18 MB","0","0 B","952649","952.649","1.69 MB"
"broaden-25cc-verify-ea-family","0x9e4000","0xc4e7ec394d77f62b","16384","316","spu-kernel-hle","tiny-dispatch-trap","144","4","254133504","242.36 MB","3.45%","34.31 MB","208.05 MB","0","0 B","894726","894.726","1.68 MB"
"broaden-25cc-verify-ea-family","0x9e4000","0xf68d32bc2886f62b","16384","316","spu-kernel-hle","tiny-dispatch-trap","130","4","229426080","218.80 MB","3.11%","30.98 MB","187.82 MB","0","0 B","931718","931.718","1.68 MB"
"broaden-25cc-verify-ea-family","0x9e4000","0x4761323927fcb13","16384","305","spu-kernel-hle","tiny-dispatch-trap","131","4","223997424","213.62 MB","3.04%","31.21 MB","182.41 MB","0","0 B","893409","893.409","1.63 MB"
"broaden-25cc-verify-ea-family","0x9e4000","0x2c5fadfec0f0cb13","16384","305","spu-kernel-hle","tiny-dispatch-trap","128","4","218867712","208.73 MB","2.97%","30.50 MB","178.23 MB","0","0 B","778162","778.162","1.63 MB"
