"rank","pattern_sig","runtime_seen","atlas_records","atlas_runs_seen","atlas_total_bytes","atlas_share","atlas_cmd_count","runtime_records","runtime_total_bytes","runtime_get_bytes","runtime_put_bytes","runtime_get_share","runtime_put_share","runtime_max_cmd_count","body_gap","hash_gate","next_probe"
"1","0xf7bf30bddad5855f","True","334","6","535174880","7.27%","159","39","62490480","9744384","52746096","15.6%","84.4%","159","put-heavy-get-only-body-caps-coverage","family+direction+lsa+eal+src_hash+dst_pre_hash+dst_post_hash+output_match","aggregate shadow hashes by pattern/descriptor, not only by exact eal bucket"
"2","0x30540805202a855f","True","322","6","515947040","7.00%","159","38","60888160","9494528","51393632","15.6%","84.4%","159","put-heavy-get-only-body-caps-coverage","family+direction+lsa+eal+src_hash+dst_pre_hash+dst_post_hash+output_match","aggregate shadow hashes by pattern/descriptor, not only by exact eal bucket"
"3","0x209c1716c9de855f","True","316","6","506333120","6.87%","159","48","76911360","11993088","64918272","15.6%","84.4%","159","put-heavy-get-only-body-caps-coverage","family+direction+lsa+eal+src_hash+dst_pre_hash+dst_post_hash+output_match","aggregate shadow hashes by pattern/descriptor, not only by exact eal bucket"
"4","0x4318b5fc803b855f","True","301","6","482298320","6.55%","159","38","60888160","9494528","51393632","15.6%","84.4%","159","put-heavy-get-only-body-caps-coverage","family+direction+lsa+eal+src_hash+dst_pre_hash+dst_post_hash+output_match","aggregate shadow hashes by pattern/descriptor, not only by exact eal bucket"
"5","0x9c4d64ff0a1c9823","False","162","4","286708896","3.89%","317","0","0","0","0","0.0%","0.0%","0","not-seen-in-latest-shadow-run","family+direction+lsa+eal+src_hash+dst_pre_hash+dst_post_hash+output_match","aggregate shadow hashes by pattern/descriptor, not only by exact eal bucket"
"6","0x95cedb5ff3de9823","False","145","4","256622160","3.48%","317","0","0","0","0","0.0%","0.0%","0","not-seen-in-latest-shadow-run","family+direction+lsa+eal+src_hash+dst_pre_hash+dst_post_hash+output_match","aggregate shadow hashes by pattern/descriptor, not only by exact eal bucket"
"7","0xc4e7ec394d77f62b","False","144","4","254133504","3.45%","316","0","0","0","0","0.0%","0.0%","0","not-seen-in-latest-shadow-run","family+direction+lsa+eal+src_hash+dst_pre_hash+dst_post_hash+output_match","aggregate shadow hashes by pattern/descriptor, not only by exact eal bucket"
"8","0xf68d32bc2886f62b","False","130","4","229426080","3.11%","316","0","0","0","0","0.0%","0.0%","0","not-seen-in-latest-shadow-run","family+direction+lsa+eal+src_hash+dst_pre_hash+dst_post_hash+output_match","aggregate shadow hashes by pattern/descriptor, not only by exact eal bucket"
"9","0x4761323927fcb13","False","131","4","223997424","3.04%","305","0","0","0","0","0.0%","0.0%","0","not-seen-in-latest-shadow-run","family+direction+lsa+eal+src_hash+dst_pre_hash+dst_post_hash+output_match","aggregate shadow hashes by pattern/descriptor, not only by exact eal bucket"
"10","0x2c5fadfec0f0cb13","False","128","4","218867712","2.97%","305","0","0","0","0","0.0%","0.0%","0","not-seen-in-latest-shadow-run","family+direction+lsa+eal+src_hash+dst_pre_hash+dst_post_hash+output_match","aggregate shadow hashes by pattern/descriptor, not only by exact eal bucket"
"11","0xb86b87ed0d1f8093","True","123","6","202288752","2.75%","173","16","26313984","3997696","22316288","15.2%","84.8%","173","put-heavy-get-only-body-caps-coverage","family+direction+lsa+eal+src_hash+dst_pre_hash+dst_post_hash+output_match","aggregate shadow hashes by pattern/descriptor, not only by exact eal bucket"
"12","0xc27c7fd824c8354b","False","115","4","197213040","2.68%","306","0","0","0","0","0.0%","0.0%","0","not-seen-in-latest-shadow-run","family+direction+lsa+eal+src_hash+dst_pre_hash+dst_post_hash+output_match","aggregate shadow hashes by pattern/descriptor, not only by exact eal bucket"
"13","0xff1468682a558093","False","110","6","180908640","2.46%","173","0","0","0","0","0.0%","0.0%","0","not-seen-in-latest-shadow-run","family+direction+lsa+eal+src_hash+dst_pre_hash+dst_post_hash+output_match","aggregate shadow hashes by pattern/descriptor, not only by exact eal bucket"
"14","0x637bd86e83c7d933","False","102","1","179456352","2.44%","305","0","0","0","0","0.0%","0.0%","0","not-seen-in-latest-shadow-run","family+direction+lsa+eal+src_hash+dst_pre_hash+dst_post_hash+output_match","aggregate shadow hashes by pattern/descriptor, not only by exact eal bucket"
"15","0x8bf74edab149354b","False","101","4","173204496","2.35%","306","0","0","0","0","0.0%","0.0%","0","not-seen-in-latest-shadow-run","family+direction+lsa+eal+src_hash+dst_pre_hash+dst_post_hash+output_match","aggregate shadow hashes by pattern/descriptor, not only by exact eal bucket"
"16","0x4b67e9a0b6538093","False","104","6","171040896","2.32%","173","0","0","0","0","0.0%","0.0%","0","not-seen-in-latest-shadow-run","family+direction+lsa+eal+src_hash+dst_pre_hash+dst_post_hash+output_match","aggregate shadow hashes by pattern/descriptor, not only by exact eal bucket"
